id,customer_id,product_id,status,purchase_date,estimated_delivery_date,delivered_date
48,190,88,processing,2023-11-23,2023-11-28,
49,958,204,shipped,2023-10-13,2023-10-19,
50,687,16,shipped,2025-04-07,2025-04-14,
51,958,151,delivered,2024-12-04,2024-12-10,2024-12-06
52,563,936,delivered,2023-12-14,2023-12-20,2023-12-31
53,1900,254,processing,2025-02-16,2025-02-23,
54,1591,188,delivered,2023-07-07,2023-07-19,2023-07-19
55,1268,329,processing,2023-11-26,2023-12-07,
56,832,544,shipped,2025-01-14,2025-01-28,
57,1529,783,shipped,2025-01-23,2025-02-03,
58,1155,997,processing,2024-03-25,2024-04-02,
59,1509,397,delivered,2024-08-06,2024-08-19,2024-08-13
60,1843,517,shipped,2024-10-03,2024-10-17,
61,647,459,cancelled,2025-02-19,2025-02-24,
62,21,330,processing,2023-10-20,2023-10-28,
63,841,820,shipped,2024-09-04,2024-09-16,
64,167,845,shipped,2025-04-22,2025-04-28,
65,1298,169,shipped,2024-08-10,2024-08-15,
66,388,693,cancelled,2024-08-05,2024-08-13,
67,601,366,cancelled,2023-07-31,2023-08-13,
68,316,178,cancelled,2025-03-07,2025-03-15,
69,14,655,delivered,2024-08-12,2024-08-16,2024-08-29
70,242,362,processing,2024-04-01,2024-04-12,
71,777,760,delivered,2024-08-17,2024-08-27,2024-08-25
72,1370,639,cancelled,2023-12-20,2023-12-28,
73,565,775,processing,2024-12-14,2024-12-17,
74,898,40,delivered,2024-08-10,2024-08-24,2024-08-23
75,1364,924,delivered,2023-11-01,2023-11-05,2023-11-11
76,92,416,delivered,2024-04-10,2024-04-16,2024-04-22
77,1391,355,cancelled,2023-10-26,2023-11-04,
78,956,255,shipped,2023-09-10,2023-09-21,
79,1479,143,processing,2024-12-04,2024-12-16,
80,1452,752,cancelled,2023-10-31,2023-11-07,
81,509,740,processing,2024-10-30,2024-11-11,
82,776,853,cancelled,2024-10-29,2024-11-02,
83,1967,710,delivered,2025-04-22,2025-05-05,2025-05-02
84,35,577,delivered,2024-10-17,2024-10-30,2024-10-27
85,206,900,shipped,2023-12-17,2023-12-30,
86,1105,11,shipped,2025-04-09,2025-04-12,
87,1956,620,processing,2025-06-16,2025-06-28,
88,1586,26,shipped,2025-01-28,2025-01-31,
89,1896,957,shipped,2025-01-01,2025-01-08,
90,1412,421,processing,2023-10-21,2023-10-30,
91,1026,663,cancelled,2024-08-18,2024-08-29,
92,1022,221,shipped,2024-10-10,2024-10-21,
93,1414,853,cancelled,2024-05-19,2024-05-29,
94,566,496,delivered,2025-04-21,2025-04-24,2025-05-10
95,1130,237,shipped,2023-11-29,2023-12-06,
96,1796,237,delivered,2024-01-27,2024-02-04,2024-01-29
97,1846,219,delivered,2023-08-01,2023-08-09,2023-08-19
98,1501,487,cancelled,2024-05-01,2024-05-07,
99,703,936,processing,2024-02-10,2024-02-13,
100,402,461,shipped,2024-04-22,2024-04-27,
101,730,663,cancelled,2025-05-24,2025-06-05,
102,1580,635,processing,2024-08-03,2024-08-09,
103,162,144,delivered,2024-05-17,2024-05-23,2024-05-25
104,202,990,shipped,2025-05-19,2025-05-25,
105,1982,189,delivered,2024-06-29,2024-07-06,2024-07-03
106,996,255,delivered,2024-06-22,2024-07-05,2024-07-01
107,270,68,shipped,2024-03-01,2024-03-12,
108,1887,616,processing,2023-10-08,2023-10-14,
109,816,336,processing,2025-01-05,2025-01-16,
110,1295,671,shipped,2025-06-22,2025-07-03,
111,456,821,shipped,2024-02-13,2024-02-16,
112,1486,874,cancelled,2023-06-25,2023-07-02,
113,1751,409,cancelled,2023-08-22,2023-09-02,
114,1276,300,delivered,2024-01-06,2024-01-12,2024-01-21
115,1017,908,shipped,2024-12-26,2025-01-02,
116,1726,602,processing,2024-08-29,2024-09-04,
117,296,357,delivered,2024-11-24,2024-11-28,2024-12-11
118,1749,256,delivered,2024-02-22,2024-03-05,2024-03-12
119,720,353,delivered,2023-12-04,2023-12-08,2023-12-13
120,1773,732,delivered,2025-06-10,2025-06-14,2025-06-27
121,338,521,processing,2025-01-14,2025-01-17,
122,879,524,delivered,2024-10-13,2024-10-18,2024-10-30
123,1077,837,shipped,2024-09-28,2024-10-11,
124,792,950,cancelled,2023-08-15,2023-08-27,
125,1946,756,processing,2023-08-09,2023-08-12,
126,217,694,shipped,2025-01-31,2025-02-06,
127,764,284,shipped,2024-05-08,2024-05-11,
128,188,312,shipped,2023-10-11,2023-10-17,
129,380,99,cancelled,2023-10-14,2023-10-19,
130,493,197,cancelled,2024-07-02,2024-07-13,
131,1065,482,cancelled,2025-03-24,2025-03-27,
132,1181,878,shipped,2023-10-27,2023-11-06,
133,15,226,cancelled,2025-02-07,2025-02-20,
134,1837,845,delivered,2025-03-12,2025-03-23,2025-03-28
135,65,615,cancelled,2023-12-30,2024-01-13,
136,1881,618,processing,2024-04-23,2024-05-02,
137,1863,365,shipped,2025-02-24,2025-02-27,
138,521,368,shipped,2023-10-26,2023-11-01,
139,1368,570,delivered,2024-11-07,2024-11-19,2024-11-09
140,1153,590,cancelled,2024-05-15,2024-05-18,
141,648,75,cancelled,2024-04-23,2024-04-29,
142,1496,42,processing,2024-09-26,2024-10-01,
143,1087,422,delivered,2023-11-22,2023-11-26,2023-11-26
144,1163,836,processing,2024-01-04,2024-01-07,
145,1523,181,processing,2025-04-03,2025-04-11,
146,593,545,shipped,2024-03-23,2024-04-06,
147,392,71,shipped,2023-08-18,2023-08-27,
148,1699,568,cancelled,2023-12-17,2023-12-25,
149,419,105,cancelled,2024-01-25,2024-02-05,
150,289,200,processing,2023-10-12,2023-10-26,
151,379,101,cancelled,2025-05-18,2025-05-29,
152,1797,768,processing,2024-05-01,2024-05-05,
153,1514,307,cancelled,2023-09-28,2023-10-02,
154,231,586,cancelled,2025-01-08,2025-01-19,
155,1018,683,shipped,2025-01-19,2025-01-22,
156,41,377,shipped,2024-09-22,2024-09-29,
157,1052,655,shipped,2024-11-28,2024-12-01,
158,135,678,shipped,2023-10-20,2023-10-29,
159,201,399,delivered,2023-12-01,2023-12-12,2023-12-12
160,1864,773,shipped,2024-06-03,2024-06-11,
161,780,221,delivered,2023-10-13,2023-10-17,2023-10-22
162,930,595,shipped,2024-11-28,2024-12-06,
163,1057,182,cancelled,2024-01-24,2024-02-04,
164,1072,307,processing,2025-02-04,2025-02-09,
165,503,522,cancelled,2024-03-05,2024-03-16,
166,407,396,cancelled,2023-07-03,2023-07-13,
167,1598,4,delivered,2024-10-31,2024-11-14,2024-11-14
168,1752,863,shipped,2023-09-24,2023-10-03,
169,805,914,processing,2024-08-02,2024-08-12,
170,99,848,processing,2024-02-21,2024-03-04,
171,684,1000,shipped,2024-08-05,2024-08-13,
172,1896,804,delivered,2023-09-12,2023-09-17,2023-09-21
173,726,281,delivered,2025-02-13,2025-02-22,2025-02-24
174,1571,215,delivered,2024-10-25,2024-10-31,2024-11-14
175,961,972,processing,2024-10-01,2024-10-14,
176,1763,610,delivered,2024-06-24,2024-07-06,2024-07-07
177,613,420,delivered,2023-12-22,2023-12-29,2024-01-08
178,1967,101,processing,2024-11-18,2024-11-28,
179,1486,963,processing,2024-05-30,2024-06-08,
180,643,521,cancelled,2024-02-12,2024-02-21,
181,1793,573,processing,2025-03-24,2025-04-03,
182,1029,309,shipped,2023-09-29,2023-10-11,
183,1242,658,processing,2024-08-18,2024-08-23,
184,503,939,processing,2025-01-22,2025-01-27,
185,767,931,delivered,2024-10-10,2024-10-14,2024-10-29
186,398,510,cancelled,2024-06-11,2024-06-14,
187,871,63,delivered,2023-10-22,2023-11-03,2023-11-09
188,795,633,cancelled,2023-08-18,2023-08-26,
189,393,226,delivered,2025-05-08,2025-05-16,2025-05-21
190,207,105,shipped,2025-01-30,2025-02-11,
191,1039,974,delivered,2025-06-01,2025-06-15,2025-06-16
192,1882,772,delivered,2025-01-04,2025-01-14,2025-01-23
193,1578,861,shipped,2024-03-16,2024-03-24,
194,892,425,shipped,2025-05-04,2025-05-12,
195,1485,255,processing,2024-01-22,2024-01-25,
196,1715,429,delivered,2023-07-26,2023-08-09,2023-08-07
197,1599,434,shipped,2024-04-16,2024-04-25,
198,864,207,shipped,2025-04-05,2025-04-14,
199,743,28,processing,2025-05-17,2025-05-29,
200,1265,682,cancelled,2024-01-09,2024-01-20,
201,564,336,shipped,2023-09-20,2023-10-04,
202,1021,588,shipped,2024-10-23,2024-11-01,
203,96,628,delivered,2024-06-21,2024-07-01,2024-07-04
204,1924,69,processing,2024-05-20,2024-05-26,
205,1758,866,delivered,2024-09-21,2024-10-02,2024-10-07
206,485,746,cancelled,2023-11-02,2023-11-05,
207,1431,513,processing,2025-05-05,2025-05-15,
208,231,167,delivered,2024-12-27,2025-01-01,2025-01-06
209,749,864,shipped,2024-12-13,2024-12-16,
210,1679,730,shipped,2025-04-27,2025-05-01,
211,1195,785,processing,2025-03-03,2025-03-11,
212,541,368,shipped,2024-07-07,2024-07-14,
213,1060,251,delivered,2025-02-03,2025-02-08,2025-02-14
214,525,859,processing,2024-02-06,2024-02-17,
215,1184,856,shipped,2023-12-16,2023-12-26,
216,1863,931,shipped,2024-08-04,2024-08-09,
217,1723,686,cancelled,2023-09-13,2023-09-17,
218,1267,170,cancelled,2023-09-01,2023-09-11,
219,1110,758,processing,2025-01-13,2025-01-20,
220,1820,935,cancelled,2024-10-05,2024-10-16,
221,578,90,delivered,2024-10-02,2024-10-05,2024-10-12
222,682,561,shipped,2025-04-26,2025-05-08,
223,557,446,shipped,2024-04-01,2024-04-06,
224,1598,294,shipped,2023-12-29,2024-01-05,
225,1977,919,processing,2025-04-30,2025-05-04,
226,1013,150,processing,2025-04-15,2025-04-20,
227,646,132,cancelled,2024-11-22,2024-11-28,
228,796,433,shipped,2024-07-13,2024-07-19,
229,1052,59,shipped,2025-04-04,2025-04-17,
230,1644,969,shipped,2024-12-20,2024-12-31,
231,1580,836,shipped,2024-05-25,2024-05-28,
232,1364,199,shipped,2024-05-17,2024-05-31,
233,1822,215,delivered,2023-08-08,2023-08-19,2023-08-17
234,1982,898,shipped,2024-11-01,2024-11-12,
235,1355,561,delivered,2023-09-14,2023-09-27,2023-09-19
236,1664,472,shipped,2025-04-26,2025-05-04,
237,1530,744,processing,2025-02-12,2025-02-25,
238,1372,247,processing,2024-01-28,2024-01-31,
239,1497,382,delivered,2025-04-09,2025-04-22,2025-04-17
240,1255,991,shipped,2025-01-07,2025-01-21,
241,190,239,processing,2025-01-13,2025-01-21,
242,1249,927,processing,2024-01-25,2024-02-04,
243,1409,367,shipped,2025-05-27,2025-06-03,
244,1401,168,shipped,2024-01-06,2024-01-13,
245,1307,560,processing,2024-11-03,2024-11-06,
246,1982,51,shipped,2024-07-23,2024-07-26,
247,633,811,cancelled,2024-03-06,2024-03-16,
248,628,610,shipped,2024-05-15,2024-05-22,
249,973,951,processing,2024-11-24,2024-12-04,
250,1769,728,processing,2025-04-04,2025-04-16,
251,1283,689,delivered,2024-01-06,2024-01-10,2024-01-18
252,1383,380,cancelled,2024-03-28,2024-04-03,
253,710,474,processing,2023-08-28,2023-09-10,
254,1480,80,cancelled,2023-07-05,2023-07-17,
255,1435,697,shipped,2023-09-11,2023-09-22,
256,649,367,processing,2024-12-29,2025-01-03,
257,318,461,delivered,2025-03-12,2025-03-20,2025-03-17
258,1701,911,processing,2024-07-06,2024-07-19,
259,1249,539,delivered,2023-12-30,2024-01-08,2024-01-18
260,1843,452,cancelled,2024-09-21,2024-09-26,
261,1258,464,delivered,2024-07-13,2024-07-16,2024-07-20
262,684,960,shipped,2023-12-13,2023-12-17,
263,664,478,shipped,2024-09-26,2024-10-09,
264,1999,926,shipped,2024-05-26,2024-06-07,
265,1851,420,processing,2024-11-23,2024-12-02,
266,1398,707,shipped,2024-01-17,2024-01-26,
267,1696,214,shipped,2023-09-13,2023-09-27,
268,1632,369,processing,2025-02-20,2025-02-23,
269,1496,854,cancelled,2025-03-27,2025-04-08,
270,1257,114,shipped,2024-12-26,2025-01-04,
271,1716,754,shipped,2024-07-07,2024-07-19,
272,1137,503,processing,2024-09-02,2024-09-15,
273,1854,636,cancelled,2024-10-08,2024-10-16,
274,1521,817,cancelled,2025-04-05,2025-04-18,
275,442,588,cancelled,2024-09-06,2024-09-14,
276,564,311,processing,2024-04-11,2024-04-20,
277,1292,469,delivered,2024-10-08,2024-10-17,2024-10-16
278,1534,824,delivered,2024-08-01,2024-08-04,2024-08-09
279,1831,708,shipped,2025-05-01,2025-05-13,
280,1410,863,shipped,2025-06-12,2025-06-19,
281,1411,44,shipped,2024-11-24,2024-12-04,
282,1137,415,delivered,2024-04-17,2024-04-27,2024-05-04
283,1637,698,processing,2023-07-27,2023-08-01,
284,1649,855,shipped,2024-10-04,2024-10-09,
285,952,246,processing,2023-09-16,2023-09-25,
286,1105,949,shipped,2024-09-25,2024-10-01,
287,699,84,processing,2025-04-06,2025-04-14,
288,113,207,processing,2025-03-02,2025-03-13,
289,2,151,delivered,2024-11-05,2024-11-17,2024-11-15
290,642,668,processing,2023-09-09,2023-09-13,
291,220,528,cancelled,2024-09-14,2024-09-18,
292,1590,165,delivered,2023-09-06,2023-09-14,2023-09-26
293,855,917,shipped,2023-09-24,2023-09-29,
294,1760,975,delivered,2025-02-07,2025-02-10,2025-02-25
295,1249,145,cancelled,2023-12-27,2023-12-31,
296,385,37,cancelled,2024-03-31,2024-04-09,
297,1427,333,processing,2024-09-17,2024-09-23,
298,1662,403,cancelled,2024-11-28,2024-12-12,
299,1154,414,cancelled,2024-12-26,2024-12-30,
300,1077,45,cancelled,2025-05-26,2025-06-08,
301,1708,402,cancelled,2024-10-05,2024-10-19,
302,730,206,shipped,2024-05-17,2024-05-31,
303,1696,62,shipped,2025-03-19,2025-03-29,
304,1734,420,delivered,2024-04-25,2024-05-01,2024-05-06
305,1440,868,processing,2025-01-02,2025-01-08,
306,247,468,shipped,2025-01-23,2025-01-27,
307,836,820,cancelled,2023-07-25,2023-07-28,
308,1463,19,processing,2024-03-20,2024-03-23,
309,203,365,shipped,2024-11-08,2024-11-13,
310,1208,300,delivered,2025-02-26,2025-03-06,2025-03-03
311,123,7,cancelled,2024-05-31,2024-06-09,
312,401,761,processing,2025-04-16,2025-04-27,
313,767,428,shipped,2024-06-16,2024-06-23,
314,294,117,processing,2024-09-12,2024-09-23,
315,280,580,shipped,2025-04-25,2025-05-05,
316,1861,507,delivered,2024-08-04,2024-08-07,2024-08-12
317,884,546,cancelled,2023-07-23,2023-08-05,
318,1634,706,delivered,2024-04-29,2024-05-13,2024-05-10
319,198,325,cancelled,2025-03-17,2025-03-22,
320,982,55,cancelled,2025-03-11,2025-03-21,
321,1931,778,processing,2024-10-24,2024-11-04,
322,1535,992,shipped,2025-01-23,2025-01-29,
323,752,42,delivered,2025-02-18,2025-03-04,2025-02-27
324,144,297,delivered,2024-05-25,2024-06-02,2024-06-07
325,609,973,delivered,2024-11-25,2024-12-01,2024-12-02
326,1225,231,processing,2025-05-30,2025-06-10,
327,1148,453,processing,2023-07-14,2023-07-18,
328,187,890,processing,2023-12-09,2023-12-17,
329,1350,394,cancelled,2024-09-07,2024-09-20,
330,464,522,delivered,2023-11-12,2023-11-17,2023-11-23
331,1373,358,cancelled,2023-07-13,2023-07-25,
332,1795,987,delivered,2024-10-26,2024-11-01,2024-10-28
333,660,444,delivered,2024-03-06,2024-03-10,2024-03-25
334,764,128,shipped,2023-09-09,2023-09-22,
335,955,691,delivered,2024-02-07,2024-02-17,2024-02-13
336,1956,405,processing,2025-06-09,2025-06-21,
337,403,392,processing,2024-05-10,2024-05-20,
338,1370,193,processing,2025-03-08,2025-03-11,
339,1987,604,shipped,2023-07-17,2023-07-29,
340,1535,881,shipped,2025-01-11,2025-01-19,
341,147,743,cancelled,2024-06-13,2024-06-16,
342,1172,78,delivered,2025-04-14,2025-04-22,2025-04-24
343,864,85,delivered,2025-05-17,2025-05-26,2025-05-20
344,1735,30,processing,2024-01-07,2024-01-11,
345,1844,725,processing,2024-03-29,2024-04-09,
346,489,49,processing,2025-03-21,2025-03-31,
347,929,777,processing,2024-12-06,2024-12-17,
348,1960,145,processing,2024-03-18,2024-03-30,
349,1664,69,processing,2024-03-24,2024-03-30,
350,551,58,delivered,2024-01-04,2024-01-10,2024-01-07
351,338,697,shipped,2024-01-25,2024-02-08,
352,872,574,processing,2024-06-05,2024-06-15,
353,641,479,delivered,2025-02-22,2025-02-25,2025-03-13
354,1803,820,processing,2023-08-01,2023-08-11,
355,1977,445,cancelled,2024-03-03,2024-03-12,
356,473,296,cancelled,2024-06-14,2024-06-28,
357,1970,678,delivered,2024-12-19,2024-12-28,2024-12-30
358,151,171,shipped,2024-10-30,2024-11-10,
359,1439,575,cancelled,2024-01-15,2024-01-27,
360,1322,147,cancelled,2025-02-10,2025-02-19,
361,1635,484,shipped,2025-03-02,2025-03-06,
362,263,306,cancelled,2023-10-27,2023-10-30,
363,1788,673,processing,2023-12-04,2023-12-07,
364,144,653,shipped,2024-08-31,2024-09-09,
365,346,846,cancelled,2025-02-12,2025-02-19,
366,624,609,shipped,2025-04-25,2025-05-01,
367,1017,446,processing,2024-08-23,2024-08-30,
368,1596,221,cancelled,2024-11-09,2024-11-21,
369,881,555,delivered,2024-03-01,2024-03-13,2024-03-07
370,2,945,cancelled,2025-01-20,2025-01-28,
371,897,804,cancelled,2024-05-01,2024-05-15,
372,1328,378,processing,2025-01-30,2025-02-11,
373,254,620,delivered,2024-03-21,2024-03-29,2024-04-07
374,1676,266,delivered,2025-02-20,2025-02-23,2025-02-25
375,453,95,delivered,2025-03-19,2025-03-23,2025-03-21
376,1061,262,processing,2023-11-05,2023-11-10,
377,1184,825,processing,2025-04-11,2025-04-17,
378,1015,897,processing,2024-07-17,2024-07-25,
379,9,71,processing,2025-04-20,2025-05-04,
380,1257,954,processing,2023-09-02,2023-09-16,
381,1123,219,delivered,2024-03-10,2024-03-23,2024-03-30
382,1683,533,shipped,2024-03-24,2024-04-04,
383,816,92,processing,2024-10-15,2024-10-29,
384,208,127,shipped,2024-08-16,2024-08-20,
385,1155,80,cancelled,2025-01-19,2025-01-29,
386,404,824,cancelled,2025-03-11,2025-03-22,
387,152,238,processing,2025-04-04,2025-04-08,
388,54,983,cancelled,2023-12-18,2023-12-29,
389,1144,372,shipped,2024-02-25,2024-03-05,
390,1697,916,cancelled,2025-03-29,2025-04-09,
391,1944,486,cancelled,2024-02-17,2024-02-25,
392,628,694,shipped,2023-09-11,2023-09-15,
393,587,25,cancelled,2025-06-04,2025-06-14,
394,1649,156,processing,2025-01-05,2025-01-17,
395,1992,517,shipped,2023-09-03,2023-09-14,
396,1444,632,shipped,2024-11-02,2024-11-16,
397,1446,789,delivered,2024-05-05,2024-05-15,2024-05-16
398,104,530,delivered,2024-02-23,2024-02-27,2024-03-11
399,1876,943,shipped,2024-10-19,2024-10-29,
400,254,710,shipped,2024-07-15,2024-07-20,
401,1251,57,delivered,2024-11-02,2024-11-07,2024-11-19
402,1136,605,processing,2023-11-16,2023-11-27,
403,510,19,cancelled,2025-02-01,2025-02-12,
404,1497,384,cancelled,2024-04-17,2024-04-28,
405,99,865,cancelled,2023-11-29,2023-12-05,
406,153,193,shipped,2024-01-16,2024-01-30,
407,1885,237,processing,2025-04-19,2025-04-28,
408,914,387,delivered,2024-12-25,2025-01-04,2025-01-10
409,1920,426,processing,2024-07-06,2024-07-13,
410,878,277,processing,2024-03-23,2024-03-26,
411,338,227,cancelled,2024-03-12,2024-03-23,
412,1730,745,delivered,2025-03-11,2025-03-19,2025-03-23
413,822,552,processing,2024-05-30,2024-06-04,
414,1187,323,delivered,2025-05-20,2025-05-25,2025-05-27
415,1744,153,shipped,2024-03-31,2024-04-12,
416,957,639,cancelled,2025-01-31,2025-02-03,
417,1705,237,delivered,2023-10-26,2023-11-05,2023-10-29
418,161,998,shipped,2023-11-02,2023-11-06,
419,1604,55,shipped,2024-03-01,2024-03-15,
420,801,980,shipped,2023-07-07,2023-07-10,
421,398,436,processing,2023-09-19,2023-09-28,
422,1301,684,processing,2023-11-19,2023-12-02,
423,816,109,cancelled,2024-09-18,2024-09-29,
424,1940,866,cancelled,2024-02-21,2024-02-29,
425,1528,981,shipped,2025-05-30,2025-06-09,
426,1920,184,cancelled,2024-07-22,2024-08-01,
427,1416,951,processing,2024-12-19,2024-12-30,
428,1159,368,cancelled,2024-11-04,2024-11-13,
429,1219,983,delivered,2024-09-02,2024-09-13,2024-09-12
430,401,198,processing,2024-02-10,2024-02-21,
431,640,371,shipped,2025-02-01,2025-02-15,
432,1057,373,shipped,2024-09-01,2024-09-14,
433,688,973,cancelled,2024-08-16,2024-08-19,
434,460,497,processing,2023-11-10,2023-11-18,
435,955,599,shipped,2024-04-29,2024-05-13,
436,1907,201,shipped,2024-10-17,2024-10-27,
437,470,849,processing,2024-12-16,2024-12-28,
438,1399,509,processing,2023-08-22,2023-09-02,
439,1046,322,shipped,2023-11-26,2023-12-02,
440,750,275,cancelled,2023-09-05,2023-09-09,
441,1694,211,cancelled,2023-09-03,2023-09-16,
442,38,504,cancelled,2024-12-28,2025-01-08,
443,230,903,delivered,2024-10-01,2024-10-12,2024-10-18
444,1389,118,processing,2025-06-04,2025-06-18,
445,563,703,shipped,2025-05-06,2025-05-16,
446,438,554,delivered,2024-11-21,2024-11-26,2024-11-26
447,1800,42,cancelled,2024-05-04,2024-05-11,
448,1307,315,delivered,2025-04-16,2025-04-20,2025-04-20
449,27,788,shipped,2024-01-15,2024-01-20,
450,226,329,shipped,2023-10-16,2023-10-19,
451,1301,17,processing,2025-01-01,2025-01-07,
452,798,283,cancelled,2024-03-15,2024-03-22,
453,1633,943,cancelled,2024-08-11,2024-08-25,
454,284,258,delivered,2024-03-25,2024-03-29,2024-04-08
455,879,575,cancelled,2024-04-28,2024-05-03,
456,960,574,delivered,2023-10-06,2023-10-20,2023-10-23
457,1505,612,shipped,2025-06-09,2025-06-17,
458,453,19,shipped,2024-04-19,2024-04-27,
459,1020,529,shipped,2023-09-13,2023-09-22,
460,1853,837,shipped,2025-04-11,2025-04-25,
461,816,423,shipped,2025-01-16,2025-01-27,
462,659,466,delivered,2025-03-18,2025-03-24,2025-03-22
463,1540,373,shipped,2025-05-05,2025-05-12,
464,547,758,delivered,2025-05-14,2025-05-27,2025-06-03
465,1216,763,shipped,2025-03-06,2025-03-10,
466,1073,967,delivered,2024-02-08,2024-02-16,2024-02-11
467,1536,81,delivered,2024-10-13,2024-10-19,2024-10-19
468,17,551,delivered,2024-09-09,2024-09-16,2024-09-15
469,1196,548,cancelled,2023-08-27,2023-09-05,
470,1244,424,delivered,2024-03-02,2024-03-10,2024-03-22
471,158,429,delivered,2023-12-16,2023-12-26,2023-12-27
472,477,388,shipped,2024-06-02,2024-06-10,
473,1070,998,delivered,2025-03-27,2025-04-08,2025-03-31
474,1397,921,delivered,2023-07-26,2023-08-05,2023-08-04
475,518,709,processing,2024-01-01,2024-01-07,
476,99,670,cancelled,2024-08-23,2024-09-06,
477,1916,204,processing,2023-10-23,2023-11-01,
478,1769,196,shipped,2024-11-24,2024-11-29,
479,1061,728,cancelled,2024-01-23,2024-01-26,
480,280,285,cancelled,2023-07-15,2023-07-26,
481,1373,969,processing,2024-07-13,2024-07-24,
482,497,196,cancelled,2023-12-16,2023-12-24,
483,302,307,processing,2025-04-02,2025-04-06,
484,181,664,delivered,2024-12-15,2024-12-25,2024-12-20
485,607,14,processing,2023-12-12,2023-12-24,
486,1123,837,cancelled,2024-01-01,2024-01-09,
487,700,146,cancelled,2025-05-04,2025-05-13,
488,993,938,shipped,2023-12-17,2023-12-20,
489,1140,57,shipped,2024-06-01,2024-06-06,
490,191,723,shipped,2024-11-09,2024-11-12,
491,253,780,shipped,2025-03-16,2025-03-28,
492,981,210,cancelled,2023-12-09,2023-12-12,
493,928,529,shipped,2023-10-15,2023-10-29,
494,1185,798,processing,2023-07-04,2023-07-18,
495,1280,344,delivered,2024-02-10,2024-02-23,2024-02-29
496,1347,715,cancelled,2023-12-31,2024-01-03,
497,128,611,shipped,2023-07-11,2023-07-17,
498,18,279,cancelled,2025-04-21,2025-04-30,
499,1817,209,shipped,2024-10-12,2024-10-21,
500,1759,641,cancelled,2024-07-04,2024-07-18,
501,566,335,shipped,2025-04-05,2025-04-12,
502,570,288,delivered,2024-05-30,2024-06-13,2024-06-14
503,1347,252,shipped,2024-05-11,2024-05-19,
504,1896,265,processing,2024-08-30,2024-09-03,
505,686,271,cancelled,2024-08-26,2024-09-02,
506,1816,924,cancelled,2024-09-08,2024-09-17,
507,626,920,processing,2023-11-21,2023-12-02,
508,1312,700,processing,2024-05-10,2024-05-18,
509,1967,419,delivered,2023-11-16,2023-11-30,2023-11-25
510,854,726,cancelled,2025-04-13,2025-04-25,
511,1687,795,delivered,2024-07-31,2024-08-06,2024-08-18
512,962,211,cancelled,2024-09-18,2024-09-23,
513,1663,365,cancelled,2024-04-30,2024-05-11,
514,155,76,delivered,2024-10-24,2024-11-02,2024-11-07
515,490,660,cancelled,2024-09-13,2024-09-26,
516,1410,321,cancelled,2025-05-15,2025-05-23,
